id,title,release_date,original_language,vote_average,vote_count,popularity,runtime,adult,genres,overview
845781,Red One,2024-10-31,en,6.962,1207,6140.642,124,False,"Action, Fantasy, Comedy","After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas."
912649,Venom: The Last Dance,2024-10-22,en,6.783,1807,4438.575,109,False,"Action, Science Fiction, Adventure, Thriller","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance."
762509,Mufasa: The Lion King,2024-12-18,en,7.1,160,3060.267,118,False,"Adventure, Family, Drama, Animation","Told in flashbacks, Mufasa is an orphaned cub, lost and alone until he meets a sympathetic lion named Taka—the heir to a royal bloodline. The chance meeting sets in motion a journey of misfits searching for their destiny and working together to evade a threatening and deadly foe."
1241982,Moana 2,2024-11-21,en,6.953,581,2817.589,100,False,"Animation, Adventure, Family, Comedy","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
1005331,Carry-On,2024-12-05,en,6.994,817,2554.211,119,False,"Action, Mystery, Thriller",An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.
939243,Sonic the Hedgehog 3,2024-12-19,en,8.0,63,2200.927,110,False,"Science Fiction, Adventure, Comedy, Family","Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet."
1043905,Dirty Angels,2024-12-11,en,6.0,27,1758.726,104,False,"Action, Drama, Thriller","During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban."
1035048,Elevation,2024-11-07,en,6.3,186,1386.513,91,False,"Action, Science Fiction, Thriller",A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
1000075,The Price of Money: A Largo Winch Adventure,2024-07-31,fr,5.6,56,1181.322,100,False,"Action, Adventure, Thriller","Largo Winch, devastated by the kidnapping of his son, realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again."
974453,Absolution,2024-10-31,en,6.1,154,1126.387,112,False,"Action, Crime, Thriller","An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly."
539972,Kraven the Hunter,2024-12-11,en,5.8,190,1133.345,127,False,"Action, Adventure, Thriller","Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared."
558449,Gladiator II,2024-11-05,en,6.7,1176,1091.838,148,False,"Action, Adventure, Drama","Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people."
1184918,The Wild Robot,2024-09-08,en,8.385,3574,978.986,102,False,"Animation, Action, Science Fiction, Family","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
1182387,Armor,2024-10-30,en,5.494,80,750.154,89,False,"Action, Crime, Thriller","Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge."
645757,That Christmas,2024-11-27,en,7.3,207,716.747,96,False,"Animation, Comedy, Family, Fantasy, Adventure",It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans — including Santa's.
