[2024-12-24T07:41:14.417+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_data_etl_workflow.fetch_movie_data manual__2024-12-24T07:38:23.874378+00:00 [queued]>
[2024-12-24T07:41:14.429+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_data_etl_workflow.fetch_movie_data manual__2024-12-24T07:38:23.874378+00:00 [queued]>
[2024-12-24T07:41:14.430+0000] {taskinstance.py:1361} INFO - Starting attempt 2 of 3
[2024-12-24T07:41:14.446+0000] {taskinstance.py:1382} INFO - Executing <Task(BashOperator): fetch_movie_data> on 2024-12-24 07:38:23.874378+00:00
[2024-12-24T07:41:14.450+0000] {standard_task_runner.py:57} INFO - Started process 53 to run task
[2024-12-24T07:41:14.454+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'movie_data_etl_workflow', 'fetch_movie_data', 'manual__2024-12-24T07:38:23.874378+00:00', '--job-id', '228', '--raw', '--subdir', 'DAGS_FOLDER/movie_data_workflow.py', '--cfg-path', '/tmp/tmp1_88035n']
[2024-12-24T07:41:14.456+0000] {standard_task_runner.py:85} INFO - Job 228: Subtask fetch_movie_data
[2024-12-24T07:41:14.475+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2024-12-24T07:41:14.517+0000] {task_command.py:415} INFO - Running <TaskInstance: movie_data_etl_workflow.fetch_movie_data manual__2024-12-24T07:38:23.874378+00:00 [running]> on host 1d5d3d5ac065
[2024-12-24T07:41:14.618+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='diinguyen' AIRFLOW_CTX_DAG_ID='movie_data_etl_workflow' AIRFLOW_CTX_TASK_ID='fetch_movie_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-24T07:38:23.874378+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-24T07:38:23.874378+00:00'
[2024-12-24T07:41:14.620+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-12-24T07:41:14.621+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'python3 /opt/***/DE_project/ETL/extract/API_movie_Themoviedb.py']
[2024-12-24T07:41:14.631+0000] {subprocess.py:86} INFO - Output:
[2024-12-24T07:56:50.278+0000] {subprocess.py:93} INFO - Fetched data for page 1
[2024-12-24T07:56:50.279+0000] {subprocess.py:93} INFO - Fetched data for page 2
[2024-12-24T07:56:50.280+0000] {subprocess.py:93} INFO - Fetched data for page 3
[2024-12-24T07:56:50.281+0000] {subprocess.py:93} INFO - Fetched data for page 4
[2024-12-24T07:56:50.282+0000] {subprocess.py:93} INFO - Fetched data for page 5
[2024-12-24T07:56:50.282+0000] {subprocess.py:93} INFO - Fetched data for page 6
[2024-12-24T07:56:50.283+0000] {subprocess.py:93} INFO - Fetched data for page 7
[2024-12-24T07:56:50.283+0000] {subprocess.py:93} INFO - Fetched data for page 8
[2024-12-24T07:56:50.283+0000] {subprocess.py:93} INFO - Fetched data for page 9
[2024-12-24T07:56:50.284+0000] {subprocess.py:93} INFO - Fetched data for page 10
[2024-12-24T07:56:50.284+0000] {subprocess.py:93} INFO - Fetched data for page 11
[2024-12-24T07:56:50.285+0000] {subprocess.py:93} INFO - Fetched data for page 12
[2024-12-24T07:56:50.285+0000] {subprocess.py:93} INFO - Fetched data for page 13
[2024-12-24T07:56:50.286+0000] {subprocess.py:93} INFO - Fetched data for page 14
[2024-12-24T07:56:50.286+0000] {subprocess.py:93} INFO - Fetched data for page 15
[2024-12-24T07:56:50.287+0000] {subprocess.py:93} INFO - Fetched data for page 16
[2024-12-24T07:56:50.287+0000] {subprocess.py:93} INFO - Fetched data for page 17
[2024-12-24T07:56:50.288+0000] {subprocess.py:93} INFO - Fetched data for page 18
[2024-12-24T07:56:50.289+0000] {subprocess.py:93} INFO - Fetched data for page 19
[2024-12-24T07:56:50.289+0000] {subprocess.py:93} INFO - Fetched data for page 20
[2024-12-24T07:56:50.290+0000] {subprocess.py:93} INFO - Fetched data for page 21
[2024-12-24T07:56:50.291+0000] {subprocess.py:93} INFO - Fetched data for page 22
[2024-12-24T07:56:50.291+0000] {subprocess.py:93} INFO - Fetched data for page 23
[2024-12-24T07:56:50.291+0000] {subprocess.py:93} INFO - Fetched data for page 24
[2024-12-24T07:56:50.292+0000] {subprocess.py:93} INFO - Fetched data for page 25
[2024-12-24T07:56:50.292+0000] {subprocess.py:93} INFO - Fetched data for page 26
[2024-12-24T07:56:50.293+0000] {subprocess.py:93} INFO - Fetched data for page 27
[2024-12-24T07:56:50.293+0000] {subprocess.py:93} INFO - Fetched data for page 28
[2024-12-24T07:56:50.294+0000] {subprocess.py:93} INFO - Fetched data for page 29
[2024-12-24T07:56:50.294+0000] {subprocess.py:93} INFO - Fetched data for page 30
[2024-12-24T07:56:50.295+0000] {subprocess.py:93} INFO - Fetched data for page 31
[2024-12-24T07:56:50.295+0000] {subprocess.py:93} INFO - Fetched data for page 32
[2024-12-24T07:56:50.296+0000] {subprocess.py:93} INFO - Fetched data for page 33
[2024-12-24T07:56:50.296+0000] {subprocess.py:93} INFO - Fetched data for page 34
[2024-12-24T07:56:50.297+0000] {subprocess.py:93} INFO - Fetched data for page 35
[2024-12-24T07:56:50.297+0000] {subprocess.py:93} INFO - Fetched data for page 36
[2024-12-24T07:56:50.298+0000] {subprocess.py:93} INFO - Fetched data for page 37
[2024-12-24T07:56:50.298+0000] {subprocess.py:93} INFO - Fetched data for page 38
[2024-12-24T07:56:50.299+0000] {subprocess.py:93} INFO - Fetched data for page 39
[2024-12-24T07:56:50.299+0000] {subprocess.py:93} INFO - Fetched data for page 40
[2024-12-24T07:56:50.299+0000] {subprocess.py:93} INFO - Fetched data for page 41
[2024-12-24T07:56:50.300+0000] {subprocess.py:93} INFO - Fetched data for page 42
[2024-12-24T07:56:50.300+0000] {subprocess.py:93} INFO - Fetched data for page 43
[2024-12-24T07:56:50.301+0000] {subprocess.py:93} INFO - Fetched data for page 44
[2024-12-24T07:56:50.301+0000] {subprocess.py:93} INFO - Fetched data for page 45
[2024-12-24T07:56:50.302+0000] {subprocess.py:93} INFO - Fetched data for page 46
