[2024-12-23T09:09:30.257+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_etl_workflow.fetch_movie_data manual__2024-12-23T09:09:28.889683+00:00 [queued]>
[2024-12-23T09:09:30.273+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_etl_workflow.fetch_movie_data manual__2024-12-23T09:09:28.889683+00:00 [queued]>
[2024-12-23T09:09:30.274+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2024-12-23T09:09:30.297+0000] {taskinstance.py:1382} INFO - Executing <Task(BashOperator): fetch_movie_data> on 2024-12-23 09:09:28.889683+00:00
[2024-12-23T09:09:30.306+0000] {standard_task_runner.py:57} INFO - Started process 59 to run task
[2024-12-23T09:09:30.310+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'movie_etl_workflow', 'fetch_movie_data', 'manual__2024-12-23T09:09:28.889683+00:00', '--job-id', '62', '--raw', '--subdir', 'DAGS_FOLDER/movie_data_workflow.py', '--cfg-path', '/tmp/tmpvje87thn']
[2024-12-23T09:09:30.312+0000] {standard_task_runner.py:85} INFO - Job 62: Subtask fetch_movie_data
[2024-12-23T09:09:30.344+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2024-12-23T09:09:30.443+0000] {task_command.py:415} INFO - Running <TaskInstance: movie_etl_workflow.fetch_movie_data manual__2024-12-23T09:09:28.889683+00:00 [running]> on host 706f06857b2f
[2024-12-23T09:09:30.612+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='diinguyen' AIRFLOW_CTX_DAG_ID='movie_etl_workflow' AIRFLOW_CTX_TASK_ID='fetch_movie_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-23T09:09:28.889683+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-23T09:09:28.889683+00:00'
[2024-12-23T09:09:30.616+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-12-23T09:09:30.617+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'python3 /opt/***/DE_project/ETL/extract/API_movie_Themoviedb.py']
[2024-12-23T09:09:30.638+0000] {subprocess.py:86} INFO - Output:
[2024-12-23T09:53:15.097+0000] {subprocess.py:93} INFO - Fetched data for page 1
[2024-12-23T09:53:15.099+0000] {subprocess.py:93} INFO - Fetched data for page 2
[2024-12-23T09:53:15.100+0000] {subprocess.py:93} INFO - Fetched data for page 3
[2024-12-23T09:53:15.104+0000] {subprocess.py:93} INFO - Fetched data for page 4
[2024-12-23T09:53:15.108+0000] {subprocess.py:93} INFO - Fetched data for page 5
[2024-12-23T09:53:15.109+0000] {subprocess.py:93} INFO - Fetched data for page 6
[2024-12-23T09:53:15.111+0000] {subprocess.py:93} INFO - Fetched data for page 7
[2024-12-23T09:53:15.114+0000] {subprocess.py:93} INFO - Fetched data for page 8
[2024-12-23T09:53:15.116+0000] {subprocess.py:93} INFO - Fetched data for page 9
[2024-12-23T09:53:15.119+0000] {subprocess.py:93} INFO - Fetched data for page 10
[2024-12-23T09:53:15.122+0000] {subprocess.py:93} INFO - Fetched data for page 11
[2024-12-23T09:53:15.123+0000] {subprocess.py:93} INFO - Fetched data for page 12
[2024-12-23T09:53:15.127+0000] {subprocess.py:93} INFO - Fetched data for page 13
[2024-12-23T09:53:15.130+0000] {subprocess.py:93} INFO - Fetched data for page 14
[2024-12-23T09:53:15.136+0000] {subprocess.py:93} INFO - Fetched data for page 15
[2024-12-23T09:53:15.139+0000] {subprocess.py:93} INFO - Fetched data for page 16
[2024-12-23T09:53:15.141+0000] {subprocess.py:93} INFO - Fetched data for page 17
[2024-12-23T09:53:15.142+0000] {subprocess.py:93} INFO - Fetched data for page 18
[2024-12-23T09:53:15.143+0000] {subprocess.py:93} INFO - Fetched data for page 19
[2024-12-23T09:53:15.145+0000] {subprocess.py:93} INFO - Fetched data for page 20
[2024-12-23T09:53:15.146+0000] {subprocess.py:93} INFO - Fetched data for page 21
[2024-12-23T09:53:15.154+0000] {subprocess.py:93} INFO - Fetched data for page 22
[2024-12-23T09:53:15.156+0000] {subprocess.py:93} INFO - Fetched data for page 23
[2024-12-23T09:53:15.158+0000] {subprocess.py:93} INFO - Fetched data for page 24
[2024-12-23T09:53:15.165+0000] {subprocess.py:93} INFO - Fetched data for page 25
[2024-12-23T09:53:15.168+0000] {subprocess.py:93} INFO - Fetched data for page 26
[2024-12-23T09:53:15.174+0000] {subprocess.py:93} INFO - Fetched data for page 27
[2024-12-23T09:53:15.177+0000] {subprocess.py:93} INFO - Fetched data for page 28
[2024-12-23T09:53:15.178+0000] {subprocess.py:93} INFO - Fetched data for page 29
[2024-12-23T09:53:15.180+0000] {subprocess.py:93} INFO - Fetched data for page 30
[2024-12-23T09:53:15.181+0000] {subprocess.py:93} INFO - Fetched data for page 31
[2024-12-23T09:53:15.182+0000] {subprocess.py:93} INFO - Fetched data for page 32
[2024-12-23T09:53:15.182+0000] {subprocess.py:93} INFO - Fetched data for page 33
[2024-12-23T09:53:15.184+0000] {subprocess.py:93} INFO - Fetched data for page 34
[2024-12-23T09:53:15.187+0000] {subprocess.py:93} INFO - Fetched data for page 35
[2024-12-23T09:53:15.188+0000] {subprocess.py:93} INFO - Fetched data for page 36
[2024-12-23T09:53:15.190+0000] {subprocess.py:93} INFO - Fetched data for page 37
[2024-12-23T09:53:15.191+0000] {subprocess.py:93} INFO - Fetched data for page 38
[2024-12-23T09:53:15.192+0000] {subprocess.py:93} INFO - Fetched data for page 39
[2024-12-23T09:53:15.193+0000] {subprocess.py:93} INFO - Fetched data for page 40
[2024-12-23T09:53:15.193+0000] {subprocess.py:93} INFO - Fetched data for page 41
[2024-12-23T09:53:15.194+0000] {subprocess.py:93} INFO - Fetched data for page 42
[2024-12-23T09:53:15.194+0000] {subprocess.py:93} INFO - Fetched data for page 43
[2024-12-23T09:53:15.195+0000] {subprocess.py:93} INFO - Fetched data for page 44
[2024-12-23T09:53:15.195+0000] {subprocess.py:93} INFO - Fetched data for page 45
[2024-12-23T09:53:15.196+0000] {subprocess.py:93} INFO - Fetched data for page 46
[2024-12-23T09:53:15.196+0000] {subprocess.py:93} INFO - Fetched data for page 47
[2024-12-23T09:53:15.196+0000] {subprocess.py:93} INFO - Fetched data for page 48
[2024-12-23T09:53:15.197+0000] {subprocess.py:93} INFO - Fetched data for page 49
[2024-12-23T09:53:15.197+0000] {subprocess.py:93} INFO - Fetched data for page 50
[2024-12-23T09:53:15.198+0000] {subprocess.py:93} INFO - Fetched data for page 51
[2024-12-23T09:53:15.199+0000] {subprocess.py:93} INFO - Fetched data for page 52
[2024-12-23T09:53:15.199+0000] {subprocess.py:93} INFO - Fetched data for page 53
[2024-12-23T09:53:15.200+0000] {subprocess.py:93} INFO - Fetched data for page 54
[2024-12-23T09:53:15.201+0000] {subprocess.py:93} INFO - Fetched data for page 55
[2024-12-23T09:53:15.202+0000] {subprocess.py:93} INFO - Fetched data for page 56
[2024-12-23T09:53:15.203+0000] {subprocess.py:93} INFO - Fetched data for page 57
[2024-12-23T09:53:15.203+0000] {subprocess.py:93} INFO - Fetched data for page 58
[2024-12-23T09:53:15.203+0000] {subprocess.py:93} INFO - Fetched data for page 59
[2024-12-23T09:53:15.204+0000] {subprocess.py:93} INFO - Fetched data for page 60
[2024-12-23T09:53:15.204+0000] {subprocess.py:93} INFO - Fetched data for page 61
[2024-12-23T09:53:15.205+0000] {subprocess.py:93} INFO - Fetched data for page 62
[2024-12-23T09:53:15.205+0000] {subprocess.py:93} INFO - Fetched data for page 63
[2024-12-23T09:53:15.206+0000] {subprocess.py:93} INFO - Fetched data for page 64
[2024-12-23T09:53:15.206+0000] {subprocess.py:93} INFO - Fetched data for page 65
[2024-12-23T09:53:15.206+0000] {subprocess.py:93} INFO - Fetched data for page 66
[2024-12-23T09:53:15.207+0000] {subprocess.py:93} INFO - Fetched data for page 67
[2024-12-23T09:53:15.207+0000] {subprocess.py:93} INFO - Fetched data for page 68
[2024-12-23T09:53:15.208+0000] {subprocess.py:93} INFO - Fetched data for page 69
[2024-12-23T09:53:15.208+0000] {subprocess.py:93} INFO - Fetched data for page 70
[2024-12-23T09:53:15.208+0000] {subprocess.py:93} INFO - Fetched data for page 71
[2024-12-23T09:53:15.209+0000] {subprocess.py:93} INFO - Fetched data for page 72
[2024-12-23T09:53:15.210+0000] {subprocess.py:93} INFO - Fetched data for page 73
[2024-12-23T09:53:15.210+0000] {subprocess.py:93} INFO - Fetched data for page 74
[2024-12-23T09:53:15.210+0000] {subprocess.py:93} INFO - Fetched data for page 75
[2024-12-23T09:53:15.211+0000] {subprocess.py:93} INFO - Fetched data for page 76
[2024-12-23T09:53:15.212+0000] {subprocess.py:93} INFO - Fetched data for page 77
[2024-12-23T09:53:15.212+0000] {subprocess.py:93} INFO - Fetched data for page 78
[2024-12-23T09:53:15.212+0000] {subprocess.py:93} INFO - Fetched data for page 79
[2024-12-23T09:53:15.213+0000] {subprocess.py:93} INFO - Fetched data for page 80
[2024-12-23T09:53:15.213+0000] {subprocess.py:93} INFO - Fetched data for page 81
[2024-12-23T09:53:15.213+0000] {subprocess.py:93} INFO - Fetched data for page 82
[2024-12-23T09:53:15.213+0000] {subprocess.py:93} INFO - Fetched data for page 83
[2024-12-23T09:53:15.214+0000] {subprocess.py:93} INFO - Fetched data for page 84
[2024-12-23T09:53:15.214+0000] {subprocess.py:93} INFO - Fetched data for page 85
[2024-12-23T09:53:15.214+0000] {subprocess.py:93} INFO - Fetched data for page 86
[2024-12-23T09:53:15.215+0000] {subprocess.py:93} INFO - Fetched data for page 87
[2024-12-23T09:53:15.215+0000] {subprocess.py:93} INFO - Fetched data for page 88
[2024-12-23T09:53:15.215+0000] {subprocess.py:93} INFO - Fetched data for page 89
[2024-12-23T09:53:15.216+0000] {subprocess.py:93} INFO - Fetched data for page 90
[2024-12-23T09:53:15.217+0000] {subprocess.py:93} INFO - Fetched data for page 91
[2024-12-23T09:53:15.217+0000] {subprocess.py:93} INFO - Fetched data for page 92
[2024-12-23T09:53:15.218+0000] {subprocess.py:93} INFO - Fetched data for page 93
[2024-12-23T09:53:15.218+0000] {subprocess.py:93} INFO - Fetched data for page 94
[2024-12-23T09:53:15.219+0000] {subprocess.py:93} INFO - Fetched data for page 95
[2024-12-23T09:53:15.219+0000] {subprocess.py:93} INFO - Fetched data for page 96
