[2024-12-24T06:04:50.298+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: movie_etl_workflow.fetch_rating_data manual__2024-12-24T06:04:49.066957+00:00 [queued]>
[2024-12-24T06:04:50.312+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: movie_etl_workflow.fetch_rating_data manual__2024-12-24T06:04:49.066957+00:00 [queued]>
[2024-12-24T06:04:50.313+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2024-12-24T06:04:50.334+0000] {taskinstance.py:1382} INFO - Executing <Task(BashOperator): fetch_rating_data> on 2024-12-24 06:04:49.066957+00:00
[2024-12-24T06:04:50.338+0000] {standard_task_runner.py:57} INFO - Started process 447 to run task
[2024-12-24T06:04:50.343+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'movie_etl_workflow', 'fetch_rating_data', 'manual__2024-12-24T06:04:49.066957+00:00', '--job-id', '189', '--raw', '--subdir', 'DAGS_FOLDER/movie_data_workflow.py', '--cfg-path', '/tmp/tmpmwlp44zy']
[2024-12-24T06:04:50.344+0000] {standard_task_runner.py:85} INFO - Job 189: Subtask fetch_rating_data
[2024-12-24T06:04:50.366+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2024-12-24T06:04:50.425+0000] {task_command.py:415} INFO - Running <TaskInstance: movie_etl_workflow.fetch_rating_data manual__2024-12-24T06:04:49.066957+00:00 [running]> on host 4170f75a0525
[2024-12-24T06:04:50.518+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='diinguyen' AIRFLOW_CTX_DAG_ID='movie_etl_workflow' AIRFLOW_CTX_TASK_ID='fetch_rating_data' AIRFLOW_CTX_EXECUTION_DATE='2024-12-24T06:04:49.066957+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-24T06:04:49.066957+00:00'
[2024-12-24T06:04:50.519+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-12-24T06:04:50.520+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'python3 /opt/***/DE_project/ETL/extract/API_rating_Themoviedb.py']
[2024-12-24T06:04:50.531+0000] {subprocess.py:86} INFO - Output:
[2024-12-24T06:06:10.219+0000] {subprocess.py:93} INFO - Fetched page 1, number of movies: 20
[2024-12-24T06:06:10.220+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 845781, page 1, number of reviews: 5
[2024-12-24T06:06:10.220+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 912649, page 1, number of reviews: 6
[2024-12-24T06:06:10.221+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 762509, page 1, number of reviews: 1
[2024-12-24T06:06:10.222+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1241982, page 1, number of reviews: 1
[2024-12-24T06:06:10.223+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1005331, page 1, number of reviews: 4
[2024-12-24T06:06:10.223+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1043905, page 1, number of reviews: 1
[2024-12-24T06:06:10.223+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1035048, page 1, number of reviews: 1
[2024-12-24T06:06:10.225+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1000075, page 1, number of reviews: 1
[2024-12-24T06:06:10.226+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 539972, page 1, number of reviews: 3
[2024-12-24T06:06:10.226+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 558449, page 1, number of reviews: 11
[2024-12-24T06:06:10.228+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1184918, page 1, number of reviews: 5
[2024-12-24T06:06:10.229+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1182387, page 1, number of reviews: 1
[2024-12-24T06:06:10.230+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1010581, page 1, number of reviews: 1
[2024-12-24T06:06:10.232+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 933260, page 1, number of reviews: 10
[2024-12-24T06:06:10.232+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 533535, page 1, number of reviews: 19
[2024-12-24T06:06:10.233+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1034541, page 1, number of reviews: 4
[2024-12-24T06:06:10.234+0000] {subprocess.py:93} INFO - Fetched page 2, number of movies: 20
[2024-12-24T06:06:10.234+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 698687, page 1, number of reviews: 2
[2024-12-24T06:06:10.235+0000] {subprocess.py:93} INFO - Fetched reviews for movie ID 1118031, page 1, number of reviews: 1
